,Company_Name,Exchange:Ticker,Industry,Rating,Mean_TEV_BV,LOG_Mean_TEV_BV,TEV_BV_SD,Hi-TEV_BV,Lo-TEV_BV,EBITDA_Mean,EBITDA_SD,LOG_EBITDA_SD,EBITDA_SD_TEV,LOG_EBITDA_SD_TEV,Hi-EBITDA_SD,Lo-EBITDA_SD,EL_2013,EL_2014,EL_2015,EL_2016,EL_2017,EL_2018,EL_2019,EL_2020,EL_2021,EL_2022,Mean_EL,EL_SD,LM_2013,LM_2014,LM_2015,LM_2016,LM_2017,LM_2018,LM_2019,LM_2020,LM_2021,LM_2022,Mean_LM,LM_SD,BL_2013,BL_2014,BL_2015,BL_2016,BL_2017,BL_2018,BL_2019,BL_2020,BL_2021,BL_2022,Mean_BL,BL_SD,TEV_BV_2013,TEV_BV_2014,TEV_BV_2015,TEV_BV_2016,TEV_BV_2017,TEV_BV_2018,TEV_BV_2019,TEV_BV_2020,TEV_BV_2021,TEV_BV_2022
11,AngloGold Ashanti Limited (JSE:ANG),JSE:ANG,Materials,BB+,1.061879275,0.06004024,0.321382171,0,1,1569.25,491.5253611,6.197513538,0.057787625,-2.85098062,1,0,0.295743535,0.318947142,0.438226617,0.291328702,0.286525404,0.375648615,0.263250802,0.148335282,0.06421612,0.113284404,0.259550662,0.11733671,0.981400438,1.910954892,1.889082462,1.868879668,1.489539749,1.567073171,1.392045455,1.485470085,0.38332486,0.711582135,1.367935291,0.52024733,0.211241071,0.337192475,0.356141887,0.309170785,0.273731302,0.284803989,0.258166491,0.253242022,0.098279458,0.117986695,0.249995618,0.085745356,0.714271136,1.057204879,0.812688855,1.061243822,0.955347407,0.758165951,0.980686437,1.70722716,1.530448384,1.041508723
12,Antero Resources Corporation (NYSE:AR),NYSE:AR,Energy,BB+,0.987647295,-0.012429634,0.749893899,0,1,1102.19,911.4085832,6.814991296,0.070532997,-2.651674631,1,0,NA,0.112064842,0.251317147,0.33734441,0.386749661,0.419076058,0.601217288,0.899750968,0.602501663,0.300266921,0.434476551,0.2345138,57.31620553,2.112625538,1.505210428,2.261587147,13.46512968,3.302831038,3.686607383,4.401999735,-71.36467598,10.57772268,2.726524318,31.00652973,0.400712944,0.311706181,0.355691882,0.329092133,0.327758916,0.31265603,0.352614453,0.43743091,0.42707668,0.399086101,0.365382623,0.047178152,0,2.781480585,1.415310839,0.97553753,0.847470468,0.746060348,0.586500854,0.486168869,0.708839006,1.329104451
13,APA Corporation (NasdaqGS:APA),NasdaqGS:APA,Energy,BB+,1.042993048,0.04209451,0.321819041,0,1,5492.7,3245.859963,8.085135606,0.114155545,-2.170193328,1,0,0.268055525,0.174111905,0.277012412,0.232582759,0.269996383,0.288361467,0.369354831,0.57466673,0.495126795,0.33566742,0.328493623,0.122227983,1.032714637,0.720047887,1.861738049,1.490236382,2.549626467,1.933617021,1.651678,2.392333709,3.667517007,1.497189884,1.879669904,0.838204514,0.200619063,0.126855622,0.187231913,0.284313725,0.318264577,0.310920536,0.348901863,0.468768984,0.676761337,0.560700594,0.348333821,0.173428751,0.748423531,0.728586726,0.675897198,1.222419608,1.17877348,1.078231913,0.944625151,0.815723201,1.3668445,1.670405172
14,"AptarGroup, Inc. (NYSE:ATR)",NYSE:ATR,Materials,BBB-,2.099593988,0.741743987,0.295243998,1,0,510.06,70.31187982,4.252940772,0.010810061,-4.527278004,0,1,0.049865127,0.040757332,0.098299646,0.055787405,0.083527529,0.085124006,0.125089732,0.13240724,0.089724736,0.142117117,0.090269987,0.035096544,0.481734048,0.403715847,0.970303564,0.643566494,1.010094637,1.098185484,1.870292887,1.768885823,1.57192403,1.867477803,1.168618062,0.568205054,0.085097229,0.073945072,0.180986378,0.122322528,0.184248888,0.173592963,0.304378719,0.287920047,0.238540387,0.274255083,0.192528729,0.082663347,1.706547926,1.814276563,1.841170195,2.192654904,2.205846248,2.039295047,2.433283003,2.174503804,2.658579985,1.929782199
15,ArcelorMittal S.A. (ENXTAM:MT),ENXTAM:MT,Materials,BBB-,0.405580906,-0.902434904,0.09097326,0,1,7984.7,4932.083965,8.503516889,0.134207754,-2.008366276,1,0,0.511247635,0.345141784,0.416084556,0.478675817,0.298662661,0.224421984,0.354673601,0.449709704,0.165633,0.130436273,0.337468702,0.131633899,2.733408184,2.694412204,2.51010101,5.355955209,1.568360472,1.287170562,1.120030415,2.536957686,0.893764127,0.200402145,2.090056201,1.440719413,0.192205126,0.144691384,0.160356527,0.205397809,0.14869181,0.121387622,0.112998499,0.107760386,0.081923658,0.046248011,0.132166083,0.048508513,0.375953087,0.41922303,0.385394085,0.429095854,0.497858721,0.540890066,0.31859856,0.239622105,0.494609516,0.354564036
16,Aristocrat Leisure Limited (ASX:ALL),ASX:ALL,Consumer,BB+,3.86602238,1.35222617,1.261770704,1,0,579.41,363.2691119,5.895143915,0.033320716,-3.401575968,1,0,0.081839373,0.067281993,-0.030918676,0.154907299,0.07268048,0.029799905,0.121506232,0.121776892,0.063032928,0.051295999,0.073320243,0.052479094,1.505066251,1.586554622,-0.855270344,2.631782946,1.141803158,0.665268126,1.9197484,1.92578125,2.14855701,0.683522967,1.335281439,0.990748761,0.256781915,0.231287517,-0.160879392,0.450106063,0.33790393,0.196415438,0.418269458,0.357580721,0.242045232,0.1291134,0.245862428,0.17456382,3.137632979,3.437584221,5.203307993,2.90564787,4.649170306,6.591143112,3.442370398,2.936359382,3.839980813,2.51702673
17,"Arrow Electronics, Inc. (NYSE:ARW)",NYSE:ARW,IT,BBB-,0.587375549,-0.532090886,0.062651254,0,1,1177.37,318.0822956,5.762310141,0.036442473,-3.312020341,1,0,0.261822473,0.244529195,0.207032453,0.264175732,0.247056633,0.267335728,0.319535393,0.385845868,0.199434382,0.253926356,0.265069421,0.053868922,1.819140213,1.952125984,1.614793468,2.041465035,2.095494659,2.100861715,2.152122045,3.053598775,1.773852439,1.369603905,1.997305824,0.445480862,0.143986946,0.154167599,0.13517969,0.165221665,0.158787589,0.155529093,0.167371404,0.182369153,0.129841268,0.137882317,0.153033672,0.016409238,0.549941126,0.630467046,0.652939615,0.625423325,0.642717367,0.581774438,0.523796136,0.472647676,0.651047561,0.543001203
18,"Asbury Automotive Group, Inc. (NYSE:ABG)",NYSE:ABG,Consumer,BB+,1.371107733,0.315618977,0.238152014,1,0,404.46,231.1345746,5.443000115,0.059435199,-2.822868648,1,0,0.465922032,0.391748234,0.401999633,0.58412624,0.597093703,0.529673498,0.536883553,0.589838206,0.401930024,0.558117587,0.505733271,0.082977053,4.808770344,4.460147601,4.994783176,5.286537295,5.426229508,5.102324177,5.478505198,5.218191964,4.605324524,4.264055344,4.964486913,0.416817105,0.640243168,0.639997882,0.702062328,0.759993026,0.765121356,0.717274155,0.723380574,0.642393432,0.644642711,0.546847275,0.678195591,0.067449379,1.37414229,1.633696918,1.746425298,1.301076675,1.281409186,1.354181695,1.347369593,1.089101089,1.603868019,0.979806563
19,Ashland Global Holdings Inc. (NYSE:ASH),NYSE:ASH,Materials,BB+,0.872651136,-0.136219419,0.117858656,0,1,603.2,289.7511576,5.669022477,0.035715397,-3.332173398,1,0,0.311160612,0.268326291,0.16928746,0.247373161,0.234235091,0.306776869,0.320058427,0.254220773,0.222276927,0.313322409,0.264703802,0.049003752,4.541364296,2.176602086,2.448548813,4.560885609,3.587378641,4.133944954,4.289827255,3.551980198,4.679878049,3.855397149,3.782580705,0.870683038,0.249840307,0.241644606,0.16996337,0.24587229,0.1478,0.261429566,0.270613876,0.197903737,0.223207794,0.286297641,0.229457319,0.044749288,0.802930374,0.900562541,1.003992674,0.993932763,0.63099,0.852181481,0.845513985,0.778471935,1.004187873,0.913747731
20,Ashtead Group plc (LSE:AHT),LSE:AHT,Industrials,BBB-,2.205449041,0.790931135,0.415598055,1,0,2076.99,907.0262699,6.810171413,0.052695942,-2.943216825,1,0,0.215811999,0.167217701,0.161971008,0.249593238,0.218610309,0.175147112,0.22854256,0.252983182,0.177740191,0.205276897,0.20528942,0.033432955,1.801376981,1.468863446,1.553002402,1.668919789,1.627896638,1.337107587,1.416249241,1.584635374,2.430801885,1.710262699,1.659911604,0.304611754,0.45340701,0.44622911,0.429802792,0.436925929,0.421502468,0.412616522,0.402196286,0.448093104,0.509182297,0.451839303,0.441179482,0.029497764,2.100935129,2.668551876,2.653578551,1.750551951,1.928099685,2.355828298,1.759831022,1.771236727,2.864756106,2.201121069
21,ASM International NV (OTCPK:ASMI.Y),OTCPK:ASMI.Y,IT,BB+,1.909168166,0.646667632,1.613968851,1,0,269.67,199.1435052,5.294025697,0.040252072,-3.21259379,1,0,-0.19574137,-0.213622598,-0.18561946,-0.242143071,-0.121622033,-0.407481034,-0.122040345,-0.106285008,-0.035118719,-0.039163031,NA,0.109709563,-1.793259883,-5.45373891,-3.796747967,-2.994447872,-3.077872012,-5.703577513,-1.438049209,-1.054380067,-1.007325282,-0.839325134,NA,1.809984669,-0.139952456,-0.201423021,-0.204206568,-0.21528363,-0.17749322,-0.384194622,-0.15469326,-0.218435068,-0.186523939,-0.172645304,-0.205485109,0.067753477,0.714986597,0.942891916,1.100135555,0.889076152,1.459383754,0.942852771,1.26755837,2.055182302,5.311239827,4.408374416
22,Atlantica Sustainable Infrastructure plc (NasdaqGS:AY),NasdaqGS:AY,Utilities,BB+,0.679892197,-0.385821027,0.372299123,0,1,593.7333333,212.5732815,5.359286783,0.025650642,-3.663186685,0,1,NA,NA,0.463676548,0.714601633,0.706426124,0.723407296,0.69516263,0.641377076,0.580943697,0.588443799,0.63925485,0.090404353,NA,16.96307506,12.64796259,9.675811308,8.159946832,7.589614284,6.975261278,7.475312228,7.544439907,7.973958333,9.445042425,3.310643539,0.508333073,0.499171699,0.475489704,0.546168736,0.536532075,0.53072253,0.531565682,0.532878528,0.55772559,0.56518217,0.528376978,0.027257454,0,0,1.025477147,0.764298192,0.75950203,0.733642767,0.764663777,0.830835007,0.960033808,0.960469242
23,Atos SE (ENXTPA:ATO),ENXTPA:ATO,IT,BBB-,0.649673515,-0.431285327,0.220015342,0,1,1378.18,309.4116129,5.734672471,0.031338788,-3.462898721,1,0,-0.052144416,-0.178065954,-0.172296179,-0.070356975,-0.023569665,-0.025342565,0.23231317,0.299095636,0.230824717,0.512393993,0.075285176,0.229210495,-0.250922812,-0.929268838,-0.992703151,-0.499883549,-0.232503523,-0.188909389,2.321753866,2.119046125,1.452153897,3.736723613,0.653548624,1.630715056,-0.031153568,-0.125707026,-0.10942427,-0.055508142,-0.024494903,-0.022765453,0.133110693,0.161347662,0.099577427,0.147513815,0.017249623,0.108216815,0.597447831,0.705957674,0.635094005,0.788950095,1.039255468,0.898308958,0.572979537,0.539451742,0.431398459,0.287891383
24,"AutoNation, Inc. (NYSE:AN)",NYSE:AN,Consumer,BBB-,1.190530393,0.174398916,0.198495926,1,0,1088.07,438.5403517,6.08345183,0.040119767,-3.215886112,1,0,0.453620741,0.424361649,0.426228151,0.510239603,0.63171286,0.6124401,0.634681913,0.62524424,0.382534488,0.433248634,0.513431238,0.102027029,5.961618799,5.752966559,5.432700422,6.055521967,6.828679404,6.853282264,7.292729095,6.304150864,3.446808511,2.164595037,5.609305292,1.607916562,0.633985839,0.60647452,0.613140946,0.629385643,0.646620278,0.627113859,0.614115198,0.56755475,0.466967392,0.547151035,0.595250946,0.054425132,1.397612106,1.429145449,1.438527566,1.233509981,1.02359841,1.0239595,0.967595241,0.907732873,1.220719718,1.262903082
25,"Avantor, Inc. (NYSE:AVTR)",NYSE:AVTR,Health Care,BB+,1.333933957,0.288132439,1.063110728,1,0,971.68,522.9027127,6.259395429,0.024139477,-3.723906728,0,1,NA,NA,NA,NA,NA,NA,0.328330435,0.31757616,0.199099432,0.259377194,0.276095805,0.059601537,NA,NA,NA,NA,NA,56.59102041,6.950603279,5.017319873,3.839300178,4.492637392,15.37817623,23.06789149,NA,NA,NA,NA,1.085754534,0.663609821,0.6800113,0.518709136,0.478473729,0.491768126,0.653054441,0.229175837,NA,NA,NA,NA,0,0,2.071118689,1.633337767,2.403189825,1.895957459
26,"Avnet, Inc. (NasdaqGS:AVT)",NasdaqGS:AVT,IT,BBB-,0.598719034,-0.512962849,0.081383543,0,1,777.4,224.3250469,5.413096102,0.038023837,-3.269542034,1,0,0.194630758,0.146227148,0.154056236,0.162391037,0.293633878,0.117066266,0.176428413,0.279798918,0.22453654,0.221362334,0.197013153,0.057719229,1.255103167,1.028906328,1.082018331,1.321907412,2.068706616,0.881310777,1.329944666,2.853255588,3.045631068,1.375052367,1.624183632,0.767761826,0.111871675,0.098885887,0.101780334,0.096768519,0.129922241,0.068208998,0.107692147,0.137122574,0.154814193,0.147097049,0.115416362,0.026552126,0.574789288,0.676248484,0.660670003,0.595898148,0.442463389,0.582652893,0.610401384,0.490075427,0.689483295,0.664508033
27,Babcock International Group PLC (LSE:BAB),LSE:BAB,Industrials,BBB-,1.131119732,0.123208056,0.688270775,0,1,496.3,327.2671759,5.790776889,0.045541442,-3.089132561,1,0,0.146303619,0.081655561,0.090038297,0.220024658,0.242157498,0.236508311,0.394032152,0.305243214,0.519172219,0.51425203,0.274938756,0.158353706,2.194644696,1.803451012,1.509963213,2.681778002,2.736649288,2.300256168,2.400276243,3.268357222,13.93250444,-7.302455357,2.552542493,5.04480523,0.222280171,0.199329212,0.188749018,0.256910589,0.237464696,0.222217881,0.195870246,0.184224918,0.24266048,0.307833451,0.225754066,0.0377722,1.519307395,2.441097812,2.096319289,1.167644533,0.980620866,0.939577472,0.49709204,0.603534851,0.467398814,0.59860425
28,Ball Corporation (NYSE:BALL),NYSE:BALL,Materials,BB+,1.575547749,0.454602989,0.221305776,1,0,1573.29,402.8574616,5.998582806,0.018540876,-3.987777446,0,1,0.300901022,0.261530261,0.220108816,0.306548767,0.316403719,0.318252563,0.219354132,0.219191325,0.187598274,0.244148663,0.259403754,0.048091608,2.702761001,2.609524589,2.567252975,4.520037279,4.75,3.558647027,3.343350028,3.314618644,3.417470797,3.496316759,3.42799791,0.739283144,0.41727165,0.40779244,0.393276978,0.500154687,0.428801088,0.379928942,0.36293343,0.360483871,0.368671926,0.385208481,0.400452349,0.041900926,1.386740552,1.559255281,1.786738872,1.631566464,1.355234032,1.19379696,1.65455479,1.644608295,1.96522025,1.577761997
29,Barry Callebaut AG (SWX:BARN),SWX:BARN,Consumer Staples,BBB-,1.756603145,0.563381913,0.210022535,1,0,632.31,134.4097421,4.900892912,0.012742579,-4.36280622,0,1,0.163361867,0.176419546,0.238084307,0.218114171,0.155977141,0.10357927,0.088288694,0.105085066,0.106468084,0.101189622,0.145656777,0.053103682,2.183951721,3.090442713,3.518300304,3.568300522,2.660626925,1.686443192,1.501981686,1.640742106,2.223271354,1.696295405,2.377035593,0.790222779,0.260490536,0.334608817,0.349912105,0.316834332,0.255876767,0.200130252,0.182709892,0.203000775,0.193298644,0.178406072,0.247526819,0.066043708,1.59456145,1.896665227,1.469698315,1.452607734,1.640476066,1.932145812,2.069459684,1.931775687,1.815554826,1.763086654
30,Befesa S.A. (XTRA:BFSA),XTRA:BFSA,Industrials,BB+,0.905354978,-0.099428171,0.894022411,0,1,166.7714286,33.84142995,3.52168579,0.014739556,-4.217220546,0,1,NA,NA,NA,NA,NA,0.2331344,0.232701702,0.294650669,0.164941105,0.179820583,0.221049691,0.051349115,NA,NA,NA,5.544022243,3.616644823,2.491326531,2.2578125,2.993650794,3.118741977,2.60311284,3.232187387,1.114762568,NA,0.498731118,0.509273356,0.481642512,0.508195212,0.402588837,0.348584754,0.376537294,0.360968724,0.261993342,0.416501683,0.087592423,NA,0,0,0,0,1.726852997,1.497989707,1.277910877,2.188470396,1.456970824
31,"Berry Global Group, Inc. (NYSE:BERY)",NYSE:BERY,Materials,BB+,1.37511043,0.318534041,0.344581255,1,0,1316.6,566.5164899,6.339506188,0.04643928,-3.06960963,1,0,0.690669435,0.571072656,0.479894261,0.330557396,0.411241759,0.433496103,0.468040726,0.649920401,0.544261856,0.543898926,0.512305352,0.109894656,5.792875989,5.381895332,5.068456376,3.672975815,4.657312925,4.013473054,4.0615727,6.005614823,4.690053286,4.451704545,4.779593485,0.777006879,0.859968664,0.740993184,0.718964204,0.694709626,0.715667059,0.632609722,0.599605739,0.649462627,0.632417221,0.525780114,0.677017816,0.0911142,1.245123384,1.297546251,1.498172125,2.101630867,1.740258722,1.459320434,1.281097361,0.999295646,1.161972337,0.966687171
32,Bilfinger SE (XTRA:GBF),XTRA:GBF,Industrials,BB+,0.349071093,-1.052479673,0.117003354,0,1,216.15,181.133476,5.199234196,0.086380316,-2.448995454,1,0,-0.115815184,-0.053987823,0.043698913,-0.008133801,-0.483336097,-0.198120729,-0.077529471,0.079451145,-0.579332059,-0.514323345,NA,0.244907763,-0.955767077,-0.532539978,0.42489083,-0.069264069,-11.92229039,-12.65090909,-0.813353566,0.588042588,-3.94789272,-2.804308797,NA,4.95766363,-0.056702172,-0.031840973,0.013483738,-0.002841565,-0.137418975,-0.080030365,-0.026936027,0.019071398,-0.129343242,-0.130860957,-0.056341914,0.060467735,0.489591868,0.589780649,0.308560025,0.349352656,0.284313494,0.403947459,0.347429519,0.240039312,0.223262703,0.254433243
33,BlueScope Steel Limited (ASX:BSL),ASX:BSL,Materials,BBB-,0.645728544,-0.437376074,0.246004635,0,1,849.84,774.8879807,6.652718478,0.159899626,-1.833208995,1,0,0.114577259,0.037475182,0.115199626,0.055716315,0.101930991,0.023295336,-0.010536463,-0.132933738,-0.006631767,-0.103559871,0.019453287,0.08602772,3.269550749,0.651173934,0.751218027,0.557955743,1.058050383,0.163651391,-0.040112657,-0.482659247,-0.062335883,-0.215958714,0.565053373,1.066047991,0.057019326,0.020250335,0.03479058,0.034935506,0.085042697,0.024250837,-0.005813162,-0.059224485,-0.006840905,-0.060700121,0.012371061,0.046731765,0.497649585,0.540366562,0.302002538,0.627024709,0.834316401,1.041016848,0.551718593,0.445518839,1.031535821,0.586135541
34,Braskem S.A. (BOVESPA:BRKM5),BOVESPA:BRKM5,Materials,BBB-,0.848710204,-0.164037489,0.182802959,0,1,2666.75,1263.688003,7.141789711,0.088345943,-2.426494999,1,0,0.53245578,0.609790742,0.771146258,0.67330061,0.570907192,0.496760015,0.490216012,0.876428543,0.529332175,0.494565462,0.604490279,0.131318531,4.050150393,4.098622047,4.72391326,3.821916022,2.477626976,2.367518829,2.899678793,7.467458591,4.357551604,1.402117463,3.766655398,1.670559976,0.348394833,0.420157299,0.510815549,0.574506037,0.556000025,0.550938228,0.5077401,0.526667925,0.51450565,0.463146997,0.497287264,0.069140654,0.654316933,0.689018822,0.662410722,0.853268256,0.973888634,1.109063154,1.035747686,0.600925117,0.97199013,0.936472585
35,Broadcom Inc. (NasdaqGS:AVGO),NasdaqGS:AVGO,IT,BBB-,3.212711794,1.167115376,1.239210668,1,0,6810.2,5163.259367,8.549323319,0.047014214,-3.057305308,1,0,-0.149346523,-0.06111869,0.10507421,0.033209083,0.096147534,0.054534467,0.098617443,0.185488406,0.154841929,0.114098305,0.063154616,0.100908323,-1.460810811,-1.24137931,2.001547189,0.694915254,1.777946383,0.783596838,1.337622859,2.77346796,2.821147636,1.792158113,1.128021211,1.485745309,-0.377707897,-0.295168375,0.369936136,0.194959582,0.21104351,0.116579073,0.26336685,0.411050035,0.448698194,0.371973005,0.171473011,0.288052451,2.52907058,4.82942899,3.520712992,5.870670471,2.194996598,2.137713624,2.670590934,2.216041664,2.897782255,3.260109832
